               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028585,           0.0058057,           0.0035494,             0.96509,             0.95929,             0.97852,             0.71731,            0.025512,           0.0066293,           0.0033227,             0.00769,             0.00769,             0.00769
                  37,             0.02909,           0.0060889,           0.0038641,             0.92461,             0.96893,             0.98123,             0.74362,            0.023701,           0.0062928,           0.0041921,            0.007624,            0.007624,            0.007624
                  38,             0.02903,           0.0056553,           0.0032549,             0.93711,              0.9509,             0.98161,             0.75158,            0.024041,           0.0058721,           0.0039701,            0.007558,            0.007558,            0.007558
                  39,            0.029622,           0.0055628,           0.0034563,             0.96308,             0.94926,             0.98192,             0.74804,            0.025393,            0.006214,           0.0031231,            0.007492,            0.007492,            0.007492
                  40,            0.029428,           0.0056075,           0.0029663,               0.978,             0.96581,             0.97833,             0.71409,            0.024789,           0.0061402,           0.0029503,            0.007426,            0.007426,            0.007426
                  41,             0.02704,           0.0057358,            0.003573,             0.96445,             0.96487,             0.98153,             0.74353,            0.025325,           0.0063327,           0.0033044,             0.00736,             0.00736,             0.00736
                  42,            0.027008,           0.0058387,           0.0032634,             0.98766,             0.93704,             0.98268,             0.75579,            0.021618,           0.0060528,           0.0030346,            0.007294,            0.007294,            0.007294
                  43,            0.027504,           0.0057993,           0.0033677,             0.95075,             0.96112,             0.98123,             0.73259,            0.024046,           0.0063554,           0.0032331,            0.007228,            0.007228,            0.007228
                  44,            0.027541,           0.0055829,            0.003289,             0.98322,             0.96279,             0.98035,             0.75922,            0.023589,           0.0058953,           0.0029811,            0.007162,            0.007162,            0.007162
                  45,            0.027985,           0.0054687,           0.0036254,             0.99396,             0.94043,             0.98214,             0.77738,            0.022511,           0.0060802,            0.003362,            0.007096,            0.007096,            0.007096
                  46,            0.026379,           0.0057023,           0.0030412,             0.98746,             0.95563,             0.98566,             0.77346,            0.021374,           0.0058446,           0.0032419,             0.00703,             0.00703,             0.00703
                  47,            0.026928,           0.0057912,           0.0028182,             0.97482,             0.95668,             0.98726,              0.7796,            0.021948,             0.00561,            0.002829,            0.006964,            0.006964,            0.006964
                  48,            0.026374,           0.0053339,           0.0029935,             0.98664,             0.94727,             0.98103,             0.78191,            0.022969,           0.0057778,           0.0029899,            0.006898,            0.006898,            0.006898
                  49,            0.025388,           0.0053277,           0.0028414,             0.96845,             0.95858,             0.98245,             0.77411,            0.023467,           0.0056467,           0.0027674,            0.006832,            0.006832,            0.006832
                  50,            0.026307,            0.005284,           0.0029098,             0.99057,              0.9729,             0.97811,             0.77979,            0.024067,           0.0059617,           0.0029175,            0.006766,            0.006766,            0.006766
